인터페이스 분류,통신 방식,호출 성격,Extension 관점,기능,인터페이스 ID,세부 그룹,대상 시스템,시그니처/메시지 형식,설명,실패 조건,입력값,출력값,선행 조건,부작용/후속 동작,비고
MESSAGE,postMessage 프로토콜,Contract,Inbound,Webview 메시지 수신,I-01,Webview → Extension,Extension Host,"{ type: string, payload?: unknown }",Webview가 Extension Host로 요청 메시지를 전달한다,"payload 형식 불일치, 지원하지 않는 type","type, payload",처리 모듈 호출 또는 오류 응답,Webview 초기화 완료,각 처리 모듈로 분기 실행,requestId 필드 추가 권장
MESSAGE,postMessage 프로토콜,Contract,Outbound,Webview 메시지 발신,I-02,Extension → Webview,Webview,"{ type: string, payload?: unknown }",Extension Host가 처리 결과를 Webview에 전달한다,"panel dispose, payload 누락","type, payload",Webview 상태 갱신,Webview panel 활성 상태,UI 렌더링 또는 오류 표시,requestId 필드 추가 권장
MESSAGE,postMessage 프로토콜,Command,Inbound,스냅샷 원복 요청 메시지,I-01-RESTORE_SNAPSHOT,Webview → Extension,SnapshotManager,RESTORE_SNAPSHOT { snapshotId: string },선택한 스냅샷으로 원복을 요청한다,"snapshotId 없음, 원복 대상 파일 없음",snapshotId,restore(snapshotId) 실행 결과,snapshotId 존재,원복 성공 시 RESTORE_DONE 전송,원복 전 pre_restore 스냅샷 생성 검토
MESSAGE,postMessage 프로토콜,Command,Inbound,충돌 분석 요청 메시지,I-01-ANALYZE_CONFLICT,Webview → Extension,ConflictAnalyzer,"ANALYZE_CONFLICT { source: string, target: string }",두 브랜치 간 충돌 후보 분석을 요청한다,"브랜치 조회 실패, diff 추출 실패","source, target",ConflictCandidate[],source/target 브랜치 존재,CONFLICT_RESULT 전송,M-05 호출로 연결
MESSAGE,postMessage 프로토콜,Command,Inbound,병합안 수락 메시지,I-01-ACCEPT_MERGE,Webview → Extension,AIClient,"ACCEPT_MERGE { filePath: string, code: string }",선택한 AI 병합안을 적용 요청한다,파일 쓰기 실패,"filePath, code",적용 결과,해당 파일 존재,충돌 마커 재검사 가능,적용 책임 모듈 명확화 필요
MESSAGE,postMessage 프로토콜,Command,Inbound,병합안 거절 메시지,I-01-REJECT_MERGE,Webview → Extension,AIClient,REJECT_MERGE { filePath: string },선택한 AI 병합안을 거절한다,제안 정보 없음,filePath,거절 처리 결과,대상 제안 존재,다음 제안 유지 또는 UI 갱신,상태 기록 여부 검토
MESSAGE,postMessage 프로토콜,Command,Inbound,병합 실행 요청 메시지,I-01-RUN_MERGE,Webview → Extension,GitClient,"RUN_MERGE { source: string, target: string }",Git 병합 실행을 요청한다,git merge 실패,"source, target",MergeResult,브랜치 존재,MERGE_COMPLETE 또는 ERROR 전송,runMerge 호출 주체 일관화 필요
MESSAGE,postMessage 프로토콜,Command,Inbound,커밋 추천 요청 메시지,I-01-RECOMMEND_COMMIT,Webview → Extension,AIClient,"RECOMMEND_COMMIT { diffText: string, tag?: string }",변경 내역 기반 커밋 메시지 추천을 요청한다,"AI 응답 실패, diff 비어 있음","diffText, tag",CommitSuggestion,diffText 존재,COMMIT_SUGGESTIONS 전송,staged diff를 Host에서 수집하는 방식으로 통일 권장
MESSAGE,postMessage 프로토콜,Command,Inbound,브랜치명 추천 요청 메시지,I-01-RECOMMEND_BRANCH,Webview → Extension,AIClient,RECOMMEND_BRANCH { purpose: string },작업 목적 기반 브랜치명 추천을 요청한다,AI 응답 실패,purpose,string[],purpose 존재,BRANCH_SUGGESTIONS 전송,
MESSAGE,postMessage 프로토콜,Command,Inbound,PR 추천 요청 메시지,I-01-RECOMMEND_PR,Webview → Extension,AIClient,RECOMMEND_PR { base: string },기준 브랜치를 바탕으로 PR 설명 추천을 요청한다,"diff/commit 수집 실패, AI 응답 실패",base,string,base 존재,PR_SUGGESTION 전송,Webview 입력과 AIClient 입력 계약 연결 보강 필요
MESSAGE,postMessage 프로토콜,Command,Inbound,커밋 실행 요청 메시지,I-01-APPLY_COMMIT,Webview → Extension,GitClient,"APPLY_COMMIT { message: string, body?: string }",선택한 메시지로 커밋 실행을 요청한다,git commit 실패,"message, body",실행 결과,staged 변경사항 존재,GIT_STATUS_UPDATED 전송,
MESSAGE,postMessage 프로토콜,Command,Inbound,브랜치 생성/전환 요청 메시지,I-01-APPLY_BRANCH,Webview → Extension,GitClient,APPLY_BRANCH { name: string },브랜치를 생성하거나 전환하도록 요청한다,"브랜치 생성 실패, 전환 실패",name,실행 결과,브랜치명 유효,브랜치 목록/상태 갱신,CREATE/CHECKOUT 분리 권장
MESSAGE,postMessage 프로토콜,Command,Inbound,브랜치 삭제 요청 메시지,I-01-DELETE_BRANCHES,Webview → Extension,GitClient,"DELETE_BRANCHES { names: string[], force: boolean }",선택한 브랜치를 삭제 요청한다,"현재 브랜치 삭제 시도, git branch -d 실패","names, force",삭제 결과,삭제 대상 존재,BRANCH_LIST 갱신,
MESSAGE,postMessage 프로토콜,Command,Inbound,스냅샷 삭제 요청 메시지,I-01-DELETE_SNAPSHOT,Webview → Extension,SnapshotManager,DELETE_SNAPSHOT { snapshotId: string },선택한 스냅샷 삭제를 요청한다,스냅샷 파일 없음,snapshotId,삭제 결과,snapshotId 존재,목록 갱신,
MESSAGE,postMessage 프로토콜,Command,Inbound,체크포인트 지정 요청 메시지,I-01-SET_CHECKPOINT,Webview → Extension,SnapshotManager,SET_CHECKPOINT { snapshotId: string },스냅샷을 체크포인트로 지정한다,저장 실패,snapshotId,지정 결과,snapshotId 존재,자동 삭제 제외 처리,해제 기능 별도 여부 검토
MESSAGE,postMessage 프로토콜,Command,Inbound,상태 갱신 요청 메시지,I-01-REFRESH_STATUS,Webview → Extension,GitClient,REFRESH_STATUS {},현재 Git 상태 갱신을 요청한다,상태 조회 실패,없음,GitStatus,Git 저장소 존재,GIT_STATUS_UPDATED 전송,
MESSAGE,postMessage 프로토콜,Query,Inbound,스냅샷 목록 요청 메시지,I-01-GET_SNAPSHOT_LIST,Webview → Extension,SnapshotManager,GET_SNAPSHOT_LIST {},저장된 스냅샷 목록 조회를 요청한다,목록 조회 실패,없음,SnapshotMeta[],저장소 초기화 완료,SNAPSHOT_LIST 전송,
MESSAGE,postMessage 프로토콜,Query,Inbound,브랜치 목록 요청 메시지,I-01-GET_BRANCH_LIST,Webview → Extension,GitClient,GET_BRANCH_LIST {},로컬 브랜치 목록 조회를 요청한다,브랜치 조회 실패,없음,BranchInfo[],Git 저장소 존재,BRANCH_LIST 전송,
MESSAGE,postMessage 프로토콜,State Sync,Outbound,Git 상태 갱신 메시지,I-02-GIT_STATUS_UPDATED,Extension → Webview,Webview,GIT_STATUS_UPDATED { status: GitStatus },최신 Git 상태를 Webview에 전달한다,postMessage 실패,status,UI 상태 반영,Webview panel 존재,상태 패널 재렌더링,
MESSAGE,postMessage 프로토콜,Response,Outbound,스냅샷 목록 응답 메시지,I-02-SNAPSHOT_LIST,Extension → Webview,Webview,SNAPSHOT_LIST { snapshots: SnapshotMeta[] },스냅샷 목록 데이터를 Webview에 전달한다,postMessage 실패,snapshots,UI 목록 반영,Webview panel 존재,스냅샷 목록 렌더링,
MESSAGE,postMessage 프로토콜,Response,Outbound,스냅샷 생성 완료 메시지,I-02-SNAPSHOT_CREATED,Extension → Webview,Webview,SNAPSHOT_CREATED { snapshot: SnapshotMeta },새로 생성된 스냅샷 정보를 전달한다,postMessage 실패,snapshot,UI 반영,snapshot 생성 완료,목록/토스트 갱신,
MESSAGE,postMessage 프로토콜,Response,Outbound,원복 완료 메시지,I-02-RESTORE_DONE,Extension → Webview,Webview,RESTORE_DONE { snapshotId: string },원복 완료 사실을 Webview에 전달한다,postMessage 실패,snapshotId,UI 반영,원복 성공,상태 재조회 가능,
MESSAGE,postMessage 프로토콜,Response,Outbound,충돌 분석 결과 메시지,I-02-CONFLICT_RESULT,Extension → Webview,Webview,CONFLICT_RESULT { candidates: ConflictCandidate[] },충돌 후보 분석 결과를 전달한다,postMessage 실패,candidates,UI 반영,분석 완료,충돌 목록 렌더링,
MESSAGE,postMessage 프로토콜,Response,Outbound,병합 초안 메시지,I-02-MERGE_PROPOSAL,Extension → Webview,Webview,MERGE_PROPOSAL { proposals: MergeProposal[] },AI 병합 초안 목록을 전달한다,"postMessage 실패, 스키마 검증 실패",proposals,UI 반영,AI 응답 검증 완료,초안 목록 렌더링,Zod 검증 필수
MESSAGE,postMessage 프로토콜,Response,Outbound,병합 완료 메시지,I-02-MERGE_COMPLETE,Extension → Webview,Webview,MERGE_COMPLETE {},병합 완료 사실을 전달한다,postMessage 실패,없음,UI 반영,git merge 성공,상태 재조회,
MESSAGE,postMessage 프로토콜,Response,Outbound,커밋 추천 결과 메시지,I-02-COMMIT_SUGGESTIONS,Extension → Webview,Webview,COMMIT_SUGGESTIONS { suggestions: CommitSuggestion },커밋 메시지 추천 결과를 전달한다,"postMessage 실패, 스키마 검증 실패",suggestions,UI 반영,AI 응답 검증 완료,추천 카드 렌더링,
MESSAGE,postMessage 프로토콜,Response,Outbound,브랜치명 추천 결과 메시지,I-02-BRANCH_SUGGESTIONS,Extension → Webview,Webview,BRANCH_SUGGESTIONS { names: string[] },브랜치명 추천 결과를 전달한다,postMessage 실패,names,UI 반영,AI 응답 검증 완료,추천 목록 렌더링,
MESSAGE,postMessage 프로토콜,Response,Outbound,PR 추천 결과 메시지,I-02-PR_SUGGESTION,Extension → Webview,Webview,PR_SUGGESTION { markdown: string },PR description 초안을 전달한다,postMessage 실패,markdown,UI 반영,AI 응답 검증 완료,마크다운 표시,
MESSAGE,postMessage 프로토콜,Response,Outbound,브랜치 목록 응답 메시지,I-02-BRANCH_LIST,Extension → Webview,Webview,BRANCH_LIST { branches: BranchInfo[] },브랜치 목록을 전달한다,postMessage 실패,branches,UI 반영,목록 조회 완료,브랜치 목록 렌더링,
MESSAGE,postMessage 프로토콜,Error,Outbound,오류 전달 메시지,I-02-ERROR,Extension → Webview,Webview,"ERROR { code: ErrorCode, message: string }",처리 실패 내용을 Webview에 전달한다,postMessage 실패,"code, message",오류 표시,오류 발생,에러 토스트/배너 표시,에러 코드 표준화 유지
MESSAGE,postMessage 프로토콜,State Sync,Outbound,로딩 상태 메시지,I-02-LOADING,Extension → Webview,Webview,"LOADING { target: string, loading: boolean }",비동기 작업의 시작/종료 상태를 전달한다,postMessage 실패,"target, loading",로딩 표시,비동기 작업 시작 또는 종료,스피너 표시/해제,
Module API,Direct Call,Query,Internal,Git 상태 조회,I-03-getStatus,GitClient,Git CLI,getStatus(): Promise<GitStatus>,현재 브랜치 및 staged/unstaged/untracked 상태를 반환한다,git status 실패,없음 또는 repoPath,Promise<GitStatus>,Git 저장소 존재,GIT_STATUS_UPDATED 전송 가능,repoPath 인자 추가 권장
Module API,Direct Call,Query,Internal,브랜치 목록 조회,I-03-getBranches,GitClient,Git CLI,getBranches(): Promise<BranchInfo[]>,로컬 브랜치 목록을 반환한다,git branch 실패,없음 또는 repoPath,Promise<BranchInfo[]>,Git 저장소 존재,BRANCH_LIST 전송 가능,
Module API,Direct Call,Query,Internal,병합 완료 브랜치 조회,I-03-getMergedBranches,GitClient,Git CLI,getMergedBranches(): Promise<string[]>,병합 완료된 브랜치명을 반환한다,git branch --merged 실패,없음 또는 repoPath,Promise<string[]>,Git 저장소 존재,브랜치 정리 후보 계산,
Module API,Direct Call,Query,Internal,staged diff 조회,I-03-getStagedDiff,GitClient,Git CLI,getStagedDiff(): Promise<string>,staged 변경사항 diff 텍스트를 반환한다,git diff --staged 실패,없음 또는 repoPath,Promise<string>,staged 변경사항 존재,AI 추천 입력 구성,
Module API,Direct Call,Query,Internal,두 브랜치 diff 조회,I-03-getDiff,GitClient,Git CLI,"getDiff(base: string, branch: string): Promise<DiffResult[]>",두 브랜치 간 diff 결과를 반환한다,git diff 실패,"base, branch",Promise<DiffResult[]>,두 브랜치 존재,ConflictAnalyzer 입력 구성,
Module API,Direct Call,Query,Internal,merge base 조회,I-03-getMergeBase,GitClient,Git CLI,"getMergeBase(source: string, target: string): Promise<string>",두 브랜치의 공통 조상 커밋 해시를 반환한다,git merge-base 실패,"source, target",Promise<string>,두 브랜치 존재,충돌 분석 선행 단계,
Module API,Direct Call,Query,Internal,워크트리 조회,I-03-getWorktrees,GitClient,Git CLI,getWorktrees(): Promise<WorktreeInfo[]>,현재 저장소의 워크트리 정보를 반환한다,git worktree 명령 실패,없음 또는 repoPath,Promise<WorktreeInfo[]>,Git 저장소 존재,UI 표시,
Module API,Direct Call,Query,Internal,로그 조회,I-03-getLog,GitClient,Git CLI,getLog(limit?: number): Promise<LogEntry[]>,최근 커밋 로그를 반환한다,git log 실패,limit,Promise<LogEntry[]>,Git 저장소 존재,PR 추천 보조 입력 가능,
Module API,Direct Call,Command,Internal,병합 실행,I-03-runMerge,GitClient,Git CLI,"runMerge(source: string, target: string): Promise<MergeResult>",두 브랜치 병합을 실행하고 결과를 반환한다,git merge 실패,"source, target",Promise<MergeResult>,두 브랜치 존재,MERGE_COMPLETE 또는 conflict 후속 처리,호출 주체 표기 통일 필요
Module API,Direct Call,Command,Internal,병합 계속,I-03-runMergeContinue,GitClient,Git CLI,runMergeContinue(): Promise<void>,중단된 병합을 계속 진행한다,git merge --continue 실패,없음,Promise<void>,병합 진행 중 상태,상태 갱신,
Module API,Direct Call,Command,Internal,병합 중단,I-03-runMergeAbort,GitClient,Git CLI,runMergeAbort(): Promise<void>,진행 중 병합을 중단한다,git merge --abort 실패,없음,Promise<void>,병합 진행 중 상태,상태 갱신,
Module API,Direct Call,Command,Internal,브랜치 생성,I-03-createBranch,GitClient,Git CLI,createBranch(name: string): Promise<void>,새 브랜치를 생성한다,git checkout -b 또는 git branch 실패,name,Promise<void>,브랜치명 유효,브랜치 목록 갱신,전환 포함 여부 분리 권장
Module API,Direct Call,Command,Internal,브랜치 삭제,I-03-deleteBranch,GitClient,Git CLI,"deleteBranch(name: string, force?: boolean): Promise<void>",로컬 브랜치를 삭제한다,"현재 브랜치 삭제 시도, git branch -d 실패","name, force",Promise<void>,대상 브랜치 존재,브랜치 목록 갱신,
Module API,Direct Call,Command,Internal,커밋 실행,I-03-runCommit,GitClient,Git CLI,"runCommit(message: string, body?: string): Promise<void>",주어진 메시지로 커밋을 생성한다,git commit 실패,"message, body",Promise<void>,staged 변경사항 존재,Git 상태 갱신,
Module API,Direct Call,Command,Internal,스냅샷 생성,I-04-createSnapshot,SnapshotManager,Local Storage,"createSnapshot(files: SnapshotFile[], reason: SnapshotReason): Promise<string>",스냅샷 파일과 메타데이터를 저장하고 snapshotId를 반환한다,"파일 쓰기 실패, metadata 기록 실패","files, reason",Promise<string>,저장 대상 파일 존재,"SNAPSHOT_CREATED 전송, pruneOldSnapshots 실행",AI 실행 직전용 인터페이스 별도 명시 권장
Module API,Direct Call,Query,Internal,스냅샷 목록 조회,I-04-listSnapshots,SnapshotManager,Local Storage,listSnapshots(): Promise<SnapshotMeta[]>,저장된 스냅샷 목록을 반환한다,인덱스 조회 실패,없음,Promise<SnapshotMeta[]>,저장소 초기화 완료,SNAPSHOT_LIST 전송,
Module API,Direct Call,Query,Internal,스냅샷 단건 조회,I-04-getSnapshot,SnapshotManager,Local Storage,getSnapshot(snapshotId: string): Promise<SnapshotMeta>,특정 스냅샷 메타데이터를 반환한다,메타데이터 없음,snapshotId,Promise<SnapshotMeta>,snapshotId 존재,상세 표시 가능,
Module API,Direct Call,Command,Internal,스냅샷 원복,I-04-restore,SnapshotManager,Local Storage,restore(snapshotId: string): Promise<void>,선택한 스냅샷 파일 상태로 복구한다,"복구 대상 파일 없음, 파일 쓰기 실패",snapshotId,Promise<void>,"snapshotId 존재, 파일 존재","RESTORE_DONE 전송, 상태 갱신",pre_restore 스냅샷 생성 권장
Module API,Direct Call,Command,Internal,스냅샷 삭제,I-04-deleteSnapshot,SnapshotManager,Local Storage,deleteSnapshot(snapshotId: string): Promise<void>,스냅샷 메타와 파일을 삭제한다,파일 삭제 실패,snapshotId,Promise<void>,snapshotId 존재,목록 갱신,
Module API,Direct Call,Command,Internal,체크포인트 설정,I-04-setCheckpoint,SnapshotManager,Local Storage,"setCheckpoint(snapshotId: string, isCheckpoint: boolean): Promise<void>",스냅샷의 체크포인트 여부를 저장한다,상태 저장 실패,"snapshotId, isCheckpoint",Promise<void>,snapshotId 존재,자동 삭제 제외/포함 변경,
Module API,Direct Call,Command,Internal,오래된 스냅샷 정리,I-04-pruneOldSnapshots,SnapshotManager,Local Storage,pruneOldSnapshots(): Promise<void>,보관 기준을 넘는 오래된 스냅샷을 삭제한다,삭제 실패,없음,Promise<void>,설정값 존재,인덱스 갱신,체크포인트 제외
Module API,Direct Call,Query,Internal,변경 기록 생성,I-05-createRecord,ChangeRecordManager,Local Storage,"createRecord(snapshotId: string, files: ChangedFile[]): Promise<string>",스냅샷과 연결된 변경 기록을 생성한다,저장 실패,"snapshotId, files",Promise<string>,snapshotId 존재,세션 연결 가능,
Module API,Direct Call,Query,Internal,변경 기록 조회,I-05-getRecord,ChangeRecordManager,Local Storage,getRecord(recordId: string): Promise<ChangeRecord>,특정 변경 기록을 반환한다,기록 없음,recordId,Promise<ChangeRecord>,recordId 존재,상세 표시 가능,
Module API,Direct Call,Query,Internal,변경 기록 목록 조회,I-05-listRecords,ChangeRecordManager,Local Storage,listRecords(): Promise<ChangeRecord[]>,저장된 변경 기록 목록을 반환한다,조회 실패,없음,Promise<ChangeRecord[]>,저장소 초기화 완료,UI 표시,
Module API,Direct Call,Command,Internal,AI 컨텍스트 생성,I-05-buildContext,ChangeRecordManager,Local Storage,buildContext(recordId: string): Promise<ContextObject>,AI 호출에 사용할 변경 맥락 객체를 반환한다,기록 조회 실패,recordId,Promise<ContextObject>,recordId 존재,AIClient 입력 구성,
Module API,Direct Call,Command,Internal,세션 연결,I-05-linkToSession,ChangeRecordManager,Local Storage,"linkToSession(recordId: string, sessionId: string): Promise<void>",변경 기록과 세션을 연결한다,저장 실패,"recordId, sessionId",Promise<void>,"recordId, sessionId 존재",세션 기반 추적,
Module API,Direct Call,Command,Internal,충돌 분석,I-06-analyze,ConflictAnalyzer,GitClient/StaticAnalyzer,"analyze(source: string, target: string): Promise<ConflictCandidate[]>","merge base, diff, 정적 분석을 통해 충돌 후보를 반환한다","merge base 조회 실패, diff 실패, 정적 분석 실패","source, target",Promise<ConflictCandidate[]>,두 브랜치 존재,CONFLICT_RESULT 전송,내부 단계 문서화 유지
Module API,Direct Call,Command,Internal,병합 초안 생성,I-07-generateMergeProposal,AIClient,AI Adapter,"generateMergeProposal(candidates: ConflictCandidate[], context: ContextObject): Promise<MergeProposal[]>",충돌 후보와 맥락을 기반으로 AI 병합 초안을 반환한다,"AI 응답 실패, 스키마 검증 실패","candidates, context",Promise<MergeProposal[]>,유효한 candidates/context 존재,MERGE_PROPOSAL 전송,
Module API,Direct Call,Command,Internal,병렬 병합 초안 생성,I-07-generateMergeProposalParallel,AIClient,AI Adapter,generateMergeProposalParallel(conflictFiles: string[]): Promise<MergeProposal[]>,충돌 파일별 병렬 AI 병합 초안을 반환한다,AI 응답 실패,conflictFiles,Promise<MergeProposal[]>,conflictFiles 존재,MERGE_PROPOSAL 전송,Promise.all 병렬
Module API,Direct Call,Command,Internal,커밋 추천 생성,I-07-recommendCommit,AIClient,AI Adapter,"recommendCommit(stagedDiff: string, tag?: CommitTag): Promise<CommitSuggestion>",staged diff를 기반으로 커밋 제목/본문/설명 추천을 반환한다,"AI 응답 실패, 스키마 검증 실패","stagedDiff, tag",Promise<CommitSuggestion>,stagedDiff 존재,COMMIT_SUGGESTIONS 전송,
Module API,Direct Call,Command,Internal,브랜치명 추천 생성,I-07-recommendBranch,AIClient,AI Adapter,recommendBranch(purpose: string): Promise<string[]>,작업 목적 기반 브랜치명 후보를 반환한다,"AI 응답 실패, 스키마 검증 실패",purpose,Promise<string[]>,purpose 존재,BRANCH_SUGGESTIONS 전송,
Module API,Direct Call,Command,Internal,PR 설명 추천 생성,I-07-recommendPR,AIClient,AI Adapter,"recommendPR(base: string, diff: string, commits: string[]): Promise<string>",PR description 초안을 반환한다,"AI 응답 실패, 스키마 검증 실패","base, diff, commits",Promise<string>,"base, diff 존재",PR_SUGGESTION 전송,
Module API,Direct Call,Query,Internal,충돌 마커 스캔,I-07-scanConflictMarkers,AIClient,AI Adapter,scanConflictMarkers(filePaths: string[]): Promise<boolean>,주어진 파일들에 conflict marker가 남아 있는지 반환한다,파일 읽기 실패,filePaths,Promise<boolean>,filePaths 존재,후속 보정 또는 재추천,AIClient보다 별도 유틸 분리도 가능
Module API,Direct Call,Command,Internal,정적 분석 실행,I-08-analyze,StaticAnalyzer,분석기,analyze(candidates: ConflictCandidate[]): Promise<ConflictCandidate[]>,충돌 후보의 신뢰도를 보정한 결과를 반환한다,분석 실패,candidates,Promise<ConflictCandidate[]>,candidates 존재,ConflictAnalyzer 후속 단계,
VS Code Integration,VS Code 이벤트 훅,Event,Registry,저장 직전 이벤트 훅,I-09-onWillSaveTextDocument,Document Save,VSCode API,workspace.onWillSaveTextDocument,파일 저장 직전 상태를 감지한다,이벤트 등록 실패,TextDocument 저장 이벤트,스냅샷 생성 트리거,문서 저장 발생,sessionManager 또는 SnapshotManager 호출,기획상 AI 작업 직전 훅과 구분 필요
VS Code Integration,VS Code 이벤트 훅,Event,Registry,파일 시스템 감시 훅,I-09-createFileSystemWatcher,File Watcher,VSCode API,workspace.createFileSystemWatcher,외부 프로세스 포함 파일 변경을 감지한다,watcher 생성 실패,파일 변경 이벤트,변경 감지 결과,Watcher 등록 완료,목록/상태 UI 갱신,
VS Code Integration,VS Code 이벤트 훅,Event,Registry,워크스페이스 변경 훅,I-09-onDidChangeWorkspaceFolders,Workspace,VSCode API,workspace.onDidChangeWorkspaceFolders,워크스페이스 폴더 추가/제거를 감지한다,재초기화 실패,워크스페이스 폴더 변경,GitClient 재초기화,이벤트 등록 완료,저장소 재선택,멀티 루트 대응 핵심
VS Code Integration,VS Code 이벤트 훅,Event,Registry,활성 에디터 변경 훅,I-09-onDidChangeActiveTextEditor,Editor,VSCode API,window.onDidChangeActiveTextEditor,활성 에디터 변경을 감지한다,에디터 없음,활성 에디터 변경,현재 파일 상태,이벤트 등록 완료,현재 파일 상태 UI 갱신,
VS Code Integration,VS Code 이벤트 훅,Event,Registry,저장 완료 이벤트 훅,I-09-onDidSaveTextDocument,Document Save,VSCode API,workspace.onDidSaveTextDocument,파일 저장 후 Git 상태 갱신을 트리거한다,상태 조회 실패,TextDocument 저장 완료,상태 재조회,이벤트 등록 완료,GIT_STATUS_UPDATED 전송,
VS Code Integration,VS Code Command,Command,Registry,메인 패널 열기 커맨드,I-10-gitcat.openPanel,Command,VSCode API,gitcat.openPanel,GitCat 메인 작업 화면을 연다,패널 생성 실패,없음,메인 패널 표시,커맨드 등록 완료,panel provider 초기화,
VS Code Integration,VS Code Command,Command,Registry,스냅샷 원복 커맨드,I-10-gitcat.restoreSnapshot,Command,VSCode API,gitcat.restoreSnapshot,스냅샷 원복 기능을 실행한다,snapshotId 없음,snapshotId 또는 선택값,원복 실행,커맨드 등록 완료,restore 호출,
VS Code Integration,VS Code Command,Command,Registry,충돌 분석 커맨드,I-10-gitcat.analyzeConflict,Command,VSCode API,gitcat.analyzeConflict,충돌 분석 기능을 실행한다,브랜치 정보 없음,"source, target",분석 결과,커맨드 등록 완료,analyze 호출,
VS Code Integration,VS Code Command,Command,Registry,병합 실행 커맨드,I-10-gitcat.runMerge,Command,VSCode API,gitcat.runMerge,병합 실행 기능을 호출한다,병합 실패,"source, target",병합 결과,커맨드 등록 완료,runMerge 호출,
VS Code Integration,VS Code Command,Command,Registry,커밋 추천 커맨드,I-10-gitcat.recommendCommit,Command,VSCode API,gitcat.recommendCommit,커밋 메시지 추천 기능을 실행한다,diff 수집 실패,diff 또는 내부 수집값,추천 결과,커맨드 등록 완료,recommendCommit 호출,
VS Code Integration,VS Code Command,Command,Registry,브랜치명 추천 커맨드,I-10-gitcat.recommendBranch,Command,VSCode API,gitcat.recommendBranch,브랜치명 추천 기능을 실행한다,purpose 없음,purpose,추천 결과,커맨드 등록 완료,recommendBranch 호출,
VS Code Integration,VS Code Command,Command,Registry,PR 추천 커맨드,I-10-gitcat.recommendPR,Command,VSCode API,gitcat.recommendPR,PR 설명 추천 기능을 실행한다,base 없음,base,추천 결과,커맨드 등록 완료,recommendPR 호출,
VS Code Integration,VS Code Command,Command,Registry,브랜치 정리 커맨드,I-10-gitcat.cleanBranches,Command,VSCode API,gitcat.cleanBranches,브랜치 정리 기능을 실행한다,삭제 실패,선택한 branch names,삭제 결과,커맨드 등록 완료,deleteBranch 호출,
VS Code Integration,VS Code Command,Command,Registry,수동 스냅샷 생성 커맨드,I-10-gitcat.createSnapshot,Command,VSCode API,gitcat.createSnapshot,수동 스냅샷 생성을 실행한다,생성 실패,"files, reason",snapshotId,커맨드 등록 완료,createSnapshot 호출,핸들러 계층 분리 권장
VS Code Integration,VS Code Command,Command,Registry,Git 상태 갱신 커맨드,I-10-gitcat.refreshStatus,Command,VSCode API,gitcat.refreshStatus,현재 Git 상태를 재조회한다,상태 조회 실패,없음,GitStatus,커맨드 등록 완료,GIT_STATUS_UPDATED 전송,내부용
STORAGE,globalState,Query,Persistence,globalState 조회,I-11-storage-get,ExtensionContext.globalState,VSCode API,get<T>(key: string): T | undefined,globalState에 저장된 값을 조회한다,키 없음,key,저장 값 또는 undefined,context 초기화 완료,후속 로직 분기,StorageService 래퍼 사용
STORAGE,globalState,Persistence,Persistence,globalState 저장,I-11-storage-set,ExtensionContext.globalState,VSCode API,"set<T>(key: string, value: T): Promise<void>",globalState에 값을 저장한다,update 실패,"key, value",Promise<void>,context 초기화 완료,인덱스/설정 값 반영,
STORAGE,globalState,Persistence,Persistence,globalState 삭제,I-11-storage-delete,ExtensionContext.globalState,VSCode API,delete(key: string): Promise<void>,globalState에서 값을 삭제한다,update 실패,key,Promise<void>,context 초기화 완료,후속 조회 결과 반영,
STORAGE,File I/O,Persistence,Persistence,스냅샷 메타 파일 저장,I-12-metadata-json,.vscode/snapshots,Local File System,metadata.json,스냅샷 메타데이터를 파일로 저장한다,파일 쓰기 실패,SnapshotMeta 구조,저장 완료,워크스페이스 루트 접근 가능,복구/목록 조회 기반 데이터 제공,.gitignore 제외 필요
STORAGE,File I/O,Persistence,Persistence,스냅샷 파일 복사 저장,I-12-snapshot-file-copy,.vscode/snapshots,Local File System,snapshot file copy,복구용 파일 복사본을 저장한다,파일 쓰기 실패,"원본 파일 경로, 내용",저장 완료,파일 경로 유효,restore 입력 데이터 제공,경로 치환 규칙 유지
Type / Schema,Type Import,Definition,Definition,공통 타입 계약,I-13-types,src/core/types.ts,TypeScript Type System,export interface/type,모듈 간 공유 타입 계약을 제공한다,타입 불일치,타입 정의,정적 타입 검사,공통 타입 import 가능,컴파일 단계 검증,문서와 코드 동기화 필요
Type / Schema,Schema Validation,Validation,Definition,AI 응답 스키마 검증,I-14-zod-schemas,Zod Schema,Zod,schema.parse(raw),AI 응답 구조를 검증한다,ZodError 발생,raw response,검증된 응답 또는 예외,스키마 정의 완료,1회 재시도 후 ERROR 처리,AI 응답 안정성 핵심